"Step","supervisedlargea100 - epoch","supervisedlargea100 - epoch__MIN","supervisedlargea100 - epoch__MAX"
"111","0.43359375","0.43359375","0.43359375"
"112","0.4375","0.4375","0.4375"
"113","0.44140625","0.44140625","0.44140625"
"114","0.4453125","0.4453125","0.4453125"
"115","0.44921875","0.44921875","0.44921875"
"116","0.453125","0.453125","0.453125"
"117","0.45703125","0.45703125","0.45703125"
"118","0.4609375","0.4609375","0.4609375"
"119","0.46484375","0.46484375","0.46484375"
"120","0.46875","0.46875","0.46875"
"121","0.47265625","0.47265625","0.47265625"
"122","0.4765625","0.4765625","0.4765625"
"123","0.48046875","0.48046875","0.48046875"
"124","0.484375","0.484375","0.484375"
"125","0.48828125","0.48828125","0.48828125"
"126","0.4921875","0.4921875","0.4921875"
"127","0.49609375","0.49609375","0.49609375"
"128","0.5","0.5","0.5"
"129","0.50390625","0.50390625","0.50390625"
"130","0.5078125","0.5078125","0.5078125"
"131","0.51171875","0.51171875","0.51171875"
"132","0.515625","0.515625","0.515625"
"133","0.51953125","0.51953125","0.51953125"
"134","0.5234375","0.5234375","0.5234375"
"135","0.52734375","0.52734375","0.52734375"
"136","0.53125","0.53125","0.53125"
"137","0.53515625","0.53515625","0.53515625"
"138","0.5390625","0.5390625","0.5390625"
"139","0.54296875","0.54296875","0.54296875"
"140","0.546875","0.546875","0.546875"
"141","0.55078125","0.55078125","0.55078125"
"142","0.5546875","0.5546875","0.5546875"
"143","0.55859375","0.55859375","0.55859375"
"144","0.5625","0.5625","0.5625"
"145","0.56640625","0.56640625","0.56640625"
"146","0.5703125","0.5703125","0.5703125"
"147","0.57421875","0.57421875","0.57421875"
"148","0.578125","0.578125","0.578125"
"149","0.58203125","0.58203125","0.58203125"
"150","0.5859375","0.5859375","0.5859375"
"151","0.58984375","0.58984375","0.58984375"
"152","0.59375","0.59375","0.59375"
"153","0.59765625","0.59765625","0.59765625"
"154","0.6015625","0.6015625","0.6015625"
"155","0.60546875","0.60546875","0.60546875"
"156","0.609375","0.609375","0.609375"
"157","0.61328125","0.61328125","0.61328125"
"158","0.6171875","0.6171875","0.6171875"
"159","0.62109375","0.62109375","0.62109375"
"160","0.625","0.625","0.625"
"161","0.62890625","0.62890625","0.62890625"
"162","0.6328125","0.6328125","0.6328125"
"163","0.63671875","0.63671875","0.63671875"
"164","0.640625","0.640625","0.640625"
"165","0.64453125","0.64453125","0.64453125"
"166","0.6484375","0.6484375","0.6484375"
"167","0.65234375","0.65234375","0.65234375"
"168","0.65625","0.65625","0.65625"
"169","0.66015625","0.66015625","0.66015625"
"170","0.6640625","0.6640625","0.6640625"
"171","0.66796875","0.66796875","0.66796875"
"172","0.671875","0.671875","0.671875"
"173","0.67578125","0.67578125","0.67578125"
"174","0.6796875","0.6796875","0.6796875"
"175","0.68359375","0.68359375","0.68359375"
"176","0.6875","0.6875","0.6875"
"177","0.69140625","0.69140625","0.69140625"
"178","0.6953125","0.6953125","0.6953125"
"179","0.69921875","0.69921875","0.69921875"
"180","0.703125","0.703125","0.703125"
"181","0.70703125","0.70703125","0.70703125"
"182","0.7109375","0.7109375","0.7109375"
